Date,Company,Position,Location,Apply Here,Posting Time,Seniority Level
2023-Dec-21,Full Stack Developer,Full Stack Developer - NFT Platform ,No Info,https://hirist.com/j/full-stack-developer-nft-platform-5-7-yrs-1259047.html?ref=kp_br&jobpos=71&jobversion=2,No Info,No Info
2023-Dec-21,MakeMyTrip,MakeMyTrip - Senior Software Engineer - React.js ,No Info,https://hirist.com/j/makemytrip-senior-software-engineer-reactjs-4-7-yrs-1255017.html?ref=kp_br&jobpos=72&jobversion=2,No Info,No Info
2023-Dec-21,Newgen Software Technologies,Newgen Software Technologies - Software Design Engineer - React.js ,No Info,https://hirist.com/j/newgen-software-technologies-software-design-engineer-reactjs-3-7-yrs-1258657.html?ref=kp_br&jobpos=73&jobversion=2,No Info,No Info
2023-Dec-21,Gartner,Gartner - Lead Software Engineer - Java/Spring Boot ,No Info,https://hirist.com/j/gartner-lead-software-engineer-javaspring-boot-7-9-yrs-1257957.html?ref=kp_br&jobpos=74&jobversion=2,No Info,No Info
2023-Dec-21,Engineering Manager,Engineering Manager - Frontend Architecture ,No Info,https://hirist.com/j/engineering-manager-frontend-architecture-10-15-yrs-1257660.html?ref=kp_br&jobpos=75&jobversion=2,No Info,No Info
2023-Dec-21,Finoit,Finoit - React.js Engineer - Javascript/TypeScript ,No Info,https://hirist.com/j/finoit-reactjs-engineer-javascripttypescript-2-4-yrs-1257814.html?ref=kp_br&jobpos=76&jobversion=2,No Info,No Info
2023-Dec-21,Indifi,Indifi - Senior UI Developer - AngularJS/Javascript ,No Info,https://hirist.com/j/indifi-senior-ui-developer-angularjsjavascript-5-8-yrs-1257263.html?ref=kp_br&jobpos=77&jobversion=2,No Info,No Info
2023-Dec-21,React.js Developer,React.js Developer - .Net Framework ,No Info,https://hirist.com/j/reactjs-developer-net-framework-5-10-yrs-1256412.html?ref=kp_br&jobpos=78&jobversion=2,No Info,No Info
2023-Dec-21,React Developer,React Developer - Javascript ,No Info,https://hirist.com/j/react-developer-javascript-3-7-yrs-1256125.html?ref=kp_br&jobpos=79&jobversion=2,No Info,No Info
2023-Dec-21,Associate Lead Engineer,Associate Lead Engineer - Python ,No Info,https://hirist.com/j/associate-lead-engineer-python-5-8-yrs-1255087.html?ref=kp_br&jobpos=80&jobversion=2,No Info,No Info
2023-Dec-21,Software Engineer,Software Engineer - Python/AngularJS ,No Info,https://hirist.com/j/software-engineer-pythonangularjs-2-4-yrs-1255071.html?ref=kp_br&jobpos=81&jobversion=2,No Info,No Info
